Аяғым,ауырады,",",–,деді,1
күні,өте-мөте,көңілді,еді,.,1
Шыдаймын,",",ата,",",салып,1
ол,үйінде,бұрынғыдан,да,ұзағырақ,1
",",ойға,шомған,күйде,сыбырлағандай,1
–,Кет,",",тырнауық,мысық,1
өте,ақ,көңіл,",",ақылды,1
үн-түнсіз,қытырлатып,отырып,алдындағы,бір,1
қиқылдасып-шиқылдасып,",",көзіміз,бен,мұрнымыздан,1
жата,жабысатынбыз,.,Аян,білденбейтін,1
еді,.,Садық,ойнайық,деп,1
.,Шынында,да,жұлдыздар,жайшылықтағыдан,1
тек,менің,ағамның,орнына,өз,1
Біз,дереу,кезектесіп,оның,омырауын,1
басына,дейін,шана,сүйретіп,сырғанақ,1
жалғыз,көзді,дәу,қорқырап,ұйқыда,1
атам,жекіріп,.,–,Тұржанның,1
қалдық,.,Үстіміздегі,киімнің,кімдікі,1
Бірақ,біртіндеп,Аянның,ертегісі,қызған,1
екі,ай,бұрын,қайтыс,болыпты,1
«,Ей,",",тоқтаңдаршы,",",2
қабырғамызға,да,бар,зілін,салды,1
.,–,Ой,",",қой,1
.,–,Тәйт,әрі,",",1
мәз-мейрам,боп,:,–,Ей,1
–,Тұржанның,тепкісін,Аянмен,бірге,1
шарықтарымыз,зілдей,боп,",",шылқылдап,1
үйіне,келісімен,төр,алдына,етбетінен,1
.,Бірақ,олыр,кетісімен,қайта,1
Барлық,әріптерді,тезірек,неге,үйретпейді,1
ұйықтап,едім,",",түсіме,кірді,1
зәресін,алған,.,Бригадир,боп,1
де,ердік,.,Сайға,түскен,1
шанамызды,бір-бір,реттен,теуіп,шықты,1
екі,қарыс,«,темекінің,»,1
жөнеледі,.,Кейде,ертегі,тыңдауға,1
Ел,көрмейтін,жерге,барып,төбелесейік,1
Тұржанған,.,Біз,",",басқа,1
",",тек,менің,ағамның,орнына,1
қаралы,қағаз,келді,.,Бұл,1
жетпей,жатып,",",алдымыз,не,1
.,Менің,көкемнің,пальтосынан,да,1
әдетінше,алыс-жұлысты,сырттай,қарап,қызықтап,1
дойыр,қамшы,қарамызды,талдырып,",",1
алдымнан,көкем,шыға,келсе,...,1
бала,",",көкпеңбек,тұлыптай,боп,1
иісі,мас,қылғандай,тұла,бойды,1
Қосым,тырнауық,та,.,2,1
жолдас,боламыз,",",–,деді,1
кешкі,тамақты,ішіп,ап,",",1
жаутаңдап,жатыр,.,Домбыға,кезерген,1
.,Сөйте-сөйте,хат,жазуды,бәріміз,1
ма,?,–,деп,сұрайды,1
алысып,қоштасты,.,–,Мен,1
иісі,шығады-ей,.,–,Менен,1
оқша,зулап,шанасының,табанынан,от,1
қораның,төбесіне,шығайық,та,",",1
оны,белдесуге,жібермей,екі,қолынан,1
күлдіргі,ертегілерді,бастайтын,.,Ондайда,1
Хат,жазуды,үйретші,",",–,1
көкеңнің,жұдырығын,иіскегің,кеп,тұрса,1
жіберді,.,Қосымның,мұрнынан,қан,1
қиял,дүниесіне,",",сиқырлы,дүниеге,1
сөйледі,.,–,Жүгермек-ай,десеңші,1
келді,ғой,",",аяғыңды,салғызбайсың,1
үнсіз,жүре,бердік,.,Дәл,1
иіскеуге,кірістік,.,Өзі,айтқаннан,1
",",–,деп,тұс-тұстан,жалынатынбыз,1
Сәл,үнсіз,отырған,соң,Бапайдың,1
көрсең,етті,...,Жаны,тәтті,1
де,",",«,Аян,ғой,1
үйінің,іргесіне,келдік,.,Аянды,1
–,Үйбай,",",ұры,ит,1
Нені,қиратып,жүрсің,?,!,1
солай,қарай,жүрді,.,Ауылға,1
босатты,.,–,Сендер,жақ,1
ертегі,айтқанда,",",біз,–,1
ұқсап,кетті,.,Дәл,қазіргі,1
",",ертеңгісін,он,шақты,қозы-лақты,1
кейін,үйіне,келісімен,төр,алдына,1
кеп,шананы,қолыңнан,именшектеп,алатын,1
ертегілер,!,..,Біз,бір,1
жасаурап,қайта,тұрды,.,Біраз,1
.,Көктем,шыға,колхоз,жұмысына,1
тісіміз-тісімізге,тимей,сақылдап,тоңатынбыз,.,1
сөздің,мағынасын,сұрап,алуға,батпадық,1
кетісімен,қайта,жиналамыз,.,Қайта,1
