әрмен,сығырайтып,тастайды,.,1
дірілдей,қалшылдап,",",көзі,1
жолы,Аянның,тобығы,тайып,1
Бәрімізбен,де,жақсы,жолдас,1
.,Ол,қара,парға,1
",",жетім,баланың,бақытқа,1
Есікбай,тағы,да,тап,1
?,–,деп,алады,1
атқаннан,күн,батқанша,салп-сұлп,1
",",Аянның,ертегілері,көбіне,1
сөзіне,құлақ,тостым,.,1
тайғанда,",",ол,үйінде,1
",",соғыс,аздай,",",1
реттен,теуіп,шықты,.,1
",",жымың-жымың,күліп,қойып,1
көзіміз,ғана,жылтырап,",",1
өзіміздің,иісімізді,өзіміз,иіскеп,1
Тұржанның,:,–,Әй,1
олардың,әрқайсысының,келуі,ауыл,1
томсырайып,тұрған,бала,оның,1
қалтамызға,10,жылқының,кепкен,1
нашарлауы,себепті,қаладан,көшіп,1
",",көзі,жалт-жұлт,етеді,1
шыға,шатынап,",",танауын,1
келдім,де,қараңғы,ауыз,1
шайқып,теппей,қойды,:,1
Аян,түседі,.,Шынында,1
.,Желсіз,тымырсық,күнде,1
жастап,",",көпке,дейін,1
жамылып,жатамын,.,Менің,1
аса,қатыгез,",",мейірімсіз,1
тура,бауша,қияр,едім,1
бар,.,Кетсін,.,1
домалап,түсіп,жер,тепкілеп,1
дәл,бірдеңеден,құр,қалатындай,1
",",–,деп,бір-екі,1
қарамызды,талдырып,",",біз,1
айна-қатесіз,қағазға,түсіріп,",",1
иісін,иіскеп,жатқам,.,1
көкпеңбек,боп,сазарып,жатты,1
Ойбай,!,–,деп,1
сайға,қарай,жүгірді,.,1
алып,жүрді,.,Тіпті,1
шыңғырған,Аянның,біраздан,кейін,1
жаман,адам,",",қаны,1
жақсы,жолдас,болды,.,1
Ағатайлап,»,шыңғырған,Аянның,1
.,Енді,біреу,менің,1
болады,",",–,деп,1
осылай,тағы,бір,ертегі,1
ұшып,өте,алмайды,",",1
.,Алғашқы,күннен,бастап,1
алып,",",олардан,шығатын,1
келе-келе,күніне,бір-екі,әріптен,1
ғой,енді,",",–,1
әдіс,",",ол,жағын,1
жығылып,қалмай,",",көзіңді,1
",",кейде,тіпті,мұрты,1
бергенбіз,",",басын,шайқып,1
Аянның,тобығы,тайып,бір,1
",",қойшы-ей,!,–,1
шаңытып,тұрып,алады,.,1
қиялдағы,дүниені,көріп,отырғандай,1
",",көзіміз,ғана,жылтырап,1
қорқынышты,.,–,Ертеде,1
–,Менің,де,шанам,1
болды,...,–,деп,1
басын,көтеріңкіреп,маған,:,1
оның,сөзіне,күлімсіреп,.,1
боп,жатқанмен,ол,көзіне,1
көңілге,олқы,түсіп,",",1
.,Осы,төбелестен,кейін-ақ,1
.,Қатты,жығылған,Есікбай,1
.,Қазір,де,ол,2
:,«,Ағатайлап,»,1
сайын,шұрқ-шұрқ,етеді,.,1
болған,Аян,ақырында,:,1
ең,",",қайда,жүрсең,1
соң,киімімізбен,отырған,орнымызда,1
.,Жалғыз,көзді,дәу,1
",",Аянның,омырауынан,бұрқырап,1
деді,көп,үндемейтін,Қосым,1
күлкіге,батып,қарық,боп,1
Түн,жарымынсыз,бір,қайтпайды,1
кейде,тіпті,кісі,аттары,1
сияқты,көрінді,.,Бір,1
жатқанымда,",",алдымнан,көкем,1
даусы,шығып,шырқырап,:,1
ойлап,шығарған,жаңа,ертегісін,1
дейін,тоқтаған,еді,.,1
бардым,.,25,Сары,1
шығару,оңай,дейсіңдер,ме,1
ұйықтап,едім,",",түсіме,1
",",әлгі,үйге,бұрылды,1
.,Адам,көрмегендей,бір-бірімізді,1
алмаймыз,.,Әйелдерге,қосылып,1
аңтарылып,тұрғанымызда,Садық,:,1
ойлап,шығаратынын,білсек,те,1
теріс,айналып,кетті,.,1
солқылдатып,естіліп,тұрды,.,1
Аянның,кешкі,қорегі,осы,1
басқамыздан,гөрі,Аянға,қатты,1
»,–,деп,қоямыз,1
киімін,шешініп,",",кемпіріне,1
кезде,",",ол,Аянды,1
",",жазылып,кеткенге,ұқсайды,1
–,Е-е,",",бұл,1
.,2,Біздің,ауыл,1
Ондай,бала,алдына,нендей,1
–,деді,олар,.,1
күні,Аян,жалғыз,көзді,1
бір,сәтке,оның,жанында,1
қол-аяғын,ербеңдете,береді,.,1
дүние,–,ертегі,қиял,1
күлісіп,",",жұмсақ,шөпке,1
шаруамыз,жоқ,.,Тіпті,1
сары,тон,киген,Аян,1
.,Тұржан,енді,оны,1
анағұрлым,биік,еді,.,1
осындай,бір,өгізден,домалап,1
еді,.,Солардың,бірде-бірі,1
лақтырып,",",атысып,ойнап,1
көзі,қанталап,",",терісіне,1
халге,жеттік,.,Ал,1
Ойбай,",",ойбай,",",1
жатыр,.,Аян,болса,1
",",–,деп,менің,1
піскен,соң,іш,.,1
араласқан,жас,қабірге,жаутаңдап,1
ертегілерді,бастайтын,.,Ондайда,1
боп,жарқырайды,.,Біз,1
Жүгіріп-жүгіріп,жанына,бардық,.,1
–,деді,ақыры,Садықтың,1
Ал,кемпірі,кеп,Аянның,1
үйден,қағаз,бен,темекі,1
.,Сонда,",",мына,1
оянып,кетер,ме,екен,1
атаманның,қарауына,тең,бөліне,1
.,Сайға,түскен,соң,1
жүгіргенде,алдына,жан,салмайтын,1
бір,күрсінісі,сияқты,.,1
:,«,Шіркін,",",1
боп,кеткен,Аян,тістене,1
кісі,–,денсаулығының,4,1
",",фашистерді,тура,бауша,1
менің,хатымды,көшіріп,жаз,1
бөлмеден,бос,тұрған,шелек,1
:,3,–,Қойсаңшы,1
біткен,кезде,ғана,«,1
кеп,еді,",",тағы,1
ерекше,ықылас,білдірген,жоқ,1
ішіне,тартамын,деп,қақалып-жөтеліп,1
",",бет-аузын,сия-сия,ғып,1
бөкпе,топырақ,қалыңдап,",",1
ол,алысып-жұлысып,ойнайтын,ойындарға,1
еске,алып,",",олардан,1
Аянды,күтіп,отырам,.,1
...,Есі,кіріп,қалса,1
талай,әйелдер,мен,жасөспірім,1
білмейтін,болармыз,»,",",1
дауыспен,:,«,Ей,1
–,Сырғанақ,деген,немене,1
тек,Есікбай,ғана,тік,1
да,ұстататын,.,Үгіпүгіп,1
ап,тағы,да,жер,1
сендіретіндей,керемет,бір,күш,1
",",қанаты,күнге,күйіп,1
дүбірі,дәл,біздің,үйдің,1
бәрін,алыстан,бұта-бұтаның,арасынан,1
топырлап,жүгіріп,әлгінің,қасына,1
мынаның,.,Бірдеңе,көрінер,1
уақыт,ұмытылмас,.,Асыр,1
15,Рас-ей,",",жусанның,1
қызығына,кіріскенбіз,.,2,1
берің,қалай-ей,.,Мына,1
бәріміздің,шанамызды,бір-бір,реттен,1
Мен,сүмірейіп,кеп,",",1
22,алып,",",өгіз,1
қарап,қойып,",",темір,1
енді,аналарымыз,темекіні,қиындау,1
етіп,шетімізден,жылап,жіберуге,1
көрсете,отырып,",",жымың-жымың,1
соң,ойнап,жүрген,балалардың,1
.,Танауымызды,қос-қосынан,тартып,1
Сондықтан,ендігі,жерде,Аянға,1
өзі,төбелесқор,",",сотқар,1
кемпірі,әкелген,шүберекпен,әдемілеп,1
",",ойбайлап,жатты,да,1
тоздырып,",",шаршау,",",1
да,бар,ма,?,1
оны,ұзын,қолымен,тұмсықтата,1
да,",",менің,бас,1
Міне,",",Аянның,кешкі,1
кетіпті,.,Бет-аузы,да,1
",",кемпір,",",мына,1
сәтке,жұқалаң,қызғылт,кілегей,1
.,Мықты,болсаң,нағыз,1
көп,еді,.,Баттиып-баттиып,1
тістенетін,Есікбай,.,–,1
деген,кішкене,қоңыр,таудың,1
",",кемпіріне,көрпе,салғызып,1
былқ-сылқ,етіп,жатқан,Аянды,1
алмай,.,Садық,шылымын,1
",",ол,үйінде,бұрынғыдан,1
Ертеңгісін,біз,жұмысқа,кетерде,1
мені,желкемнен,бір,түйді,1
",",алабұртып,",",елден,1
кейбіріміз,ішіне,жылқы,тезегі,1
кеткен,соң,жасырынып,",",1
Ол,қыпқызыл,боп,қара,1
.,Жаңа,келген,бала,1
.,Мұндайда,балалар,еліккіш,1
Сірескен,ақ,қардың,бетінде,1
.,Аян,оның,басынан,1
көзі,қып-қызыл,боп,кетіпті,1
Біз,дереу,кезектесіп,оның,1
кигізбейді,",",–,деді,1
қолтығындағы,жастығын,мыжғылай,түсіп,1
жарымынсыз,бір,қайтпайды,ғой,1
жайдары,жүзі,",",не,1
!,–,деп,кеп,1
үйлері,шам,жаға,бастаған,1
мен,бар,ғой,тек,1
емес,.,Біз,болсақ,1
да,айтшы,.,–,1
»,",",–,дейді,1
еткен,үңгір,тауға,ұқсап,1
",",конькиімізге,көз,салды,1
шалдың,үйіне,дейін,айдасып,1
",",сөйтіп,әкеағаларымызды,тауып,1
Тұржан,енді,оны,қолындағы,1
арманымыз,еді,.,Сонымызды,1
шұбырып,ауылға,қайтқан,.,1
біздің,«,атаман,»,1
тақтайлы,шанамды,нұсқап,:,1
көшенің,басындағы,шалдың,үйіне,1
қараңғысына,дейін,жер,жыртамыз,1
жүргендей-ақ,екі,айдан,кейін,1
атаман,сайлап,",",қалғандарымыз,1
мынадай,ақ,көйлегім,бар,1
.,Қар,қалың,түскенімен,1
шұбалған,топ,шаналарын,сүйретіп,1
отырып,алдындағы,бір,уыс,1
шанасын,кезек,бойынша,Қосым,1
жоқ,",",сондықтан,елдің,1
келген,.,Мал,дегеннен,1
:,–,Мә,",",2
еді,.,Ұзыннан-ұзақ,бір,1
?,Бар,.,Ендеше,1
асап,",",ыстық,шайға,1
отырғанбыз,.,Бірінші,күннен-ақ,1
жыртыла,ауырып,",",дойыр,1
қоятын,да,:,–,1
",",ақырындап,танауынан,бұрқ-бұрқ,1
білінгеннен,бастап,ымырт,қараңғысына,1
боп,қалды,ғой,",",1
көтере,алмаймыз,.,Әйелдерге,1
шанаңды,бір,жолға,болса,1
–,деп,айқайлап,еңіске,1
.,–,Сағындым,ағамды,1
тазалап,жүр,екен,.,1
«,Аса,жаннан,артық,1
Құрғақ,шөптің,танауды,жарған,1
шыда,...,–,деп,1
Аян,екеуміз,бір,партаға,1
